,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccines
141,Northern Cyprus,129743.0,75463.0,54280.0,33.94,19.74,14.2,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
142,Northern Ireland,1686410.0,1037892.0,648518.0,89.06,54.81,34.25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
143,Norway,2598403.0,1631293.0,967110.0,47.93,30.09,17.84,"Moderna, Pfizer/BioNTech"
144,Oman,296894.0,216549.0,80345.0,5.81,4.24,1.57,"Oxford/AstraZeneca, Pfizer/BioNTech"
145,Pakistan,6130509.0,4693390.0,1513144.0,2.78,2.12,0.69,"CanSino, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
146,Palestine,489698.0,293238.0,196460.0,9.6,5.75,3.85,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
147,Panama,1001690.0,657687.0,344003.0,23.22,15.24,7.97,"Oxford/AstraZeneca, Pfizer/BioNTech"
148,Papua New Guinea,11537.0,11537.0,0.0,0.13,0.13,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
149,Paraguay,340338.0,276710.0,63628.0,4.77,3.88,0.89,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
150,Peru,3561670.0,2486085.0,1075585.0,10.8,7.54,3.26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
151,Philippines,4495375.0,3466314.0,1029061.0,4.1,3.16,0.94,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
152,Pitcairn,47.0,47.0,0.0,100.0,100.0,0.0,Oxford/AstraZeneca
153,Poland,19525032.0,13451439.0,6562897.0,51.59,35.54,17.34,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
154,Portugal,5504849.0,3760060.0,1744766.0,53.99,36.88,17.11,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
155,Qatar,2475837.0,1420090.0,1055747.0,85.93,49.29,36.64,"Moderna, Pfizer/BioNTech"
156,Romania,7663368.0,4257317.0,3509016.0,39.84,22.13,18.24,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
157,Russia,28112894.0,16331436.0,11781458.0,19.26,11.19,8.07,"EpiVacCorona, Sputnik V"
158,Rwanda,400096.0,350400.0,49696.0,3.09,2.71,0.38,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
159,Saint Helena,7091.0,3563.0,3528.0,116.8,58.69,58.11,Oxford/AstraZeneca
160,Saint Kitts and Nevis,25347.0,18425.0,6922.0,47.65,34.64,13.01,Oxford/AstraZeneca
161,Saint Lucia,45986.0,27709.0,18277.0,25.04,15.09,9.95,Oxford/AstraZeneca
162,Saint Vincent and the Grenadines,19463.0,18417.0,0.0,17.54,16.6,0.0,Oxford/AstraZeneca
163,Samoa,28443.0,28443.0,0.0,14.34,14.34,0.0,Oxford/AstraZeneca
164,San Marino,42476.0,21537.0,20939.0,125.16,63.46,61.7,"Pfizer/BioNTech, Sputnik V"
165,Sao Tome and Principe,14509.0,12374.0,2135.0,6.62,5.65,0.97,Oxford/AstraZeneca
166,Saudi Arabia,13723119.0,0.0,0.0,39.42,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
167,Scotland,5167057.0,3196051.0,1971006.0,94.58,58.5,36.08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
168,Senegal,513332.0,444007.0,69325.0,3.07,2.65,0.41,"Oxford/AstraZeneca, Sinopharm/Beijing"
169,Serbia,4437750.0,2472221.0,1965529.0,65.22,36.33,28.89,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
170,Seychelles,134475.0,70446.0,64029.0,136.74,71.64,65.11,"Oxford/AstraZeneca, Sinopharm/Beijing"
171,Sierra Leone,64966.0,58250.0,6716.0,0.81,0.73,0.08,Oxford/AstraZeneca
172,Singapore,3728869.0,2112450.0,1616419.0,63.74,36.11,27.63,"Moderna, Pfizer/BioNTech"
173,Sint Maarten (Dutch part),27285.0,15906.0,11379.0,63.63,37.09,26.54,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
174,Slovakia,2469383.0,1677653.0,791730.0,45.23,30.73,14.5,Pfizer/BioNTech
175,Slovenia,1034929.0,653310.0,381619.0,49.78,31.43,18.36,"Oxford/AstraZeneca, Pfizer/BioNTech"
176,Solomon Islands,16581.0,13102.0,3479.0,2.41,1.91,0.51,Oxford/AstraZeneca
177,Somalia,125582.0,125582.0,0.0,0.79,0.79,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
178,South Africa,700904.0,642946.0,480665.0,1.18,1.08,0.81,"Johnson&Johnson, Pfizer/BioNTech"
179,South Korea,7367683.0,5233963.0,2133720.0,14.37,10.21,4.16,"Oxford/AstraZeneca, Pfizer/BioNTech"
180,South Sudan,8606.0,8606.0,0.0,0.08,0.08,0.0,Oxford/AstraZeneca
181,Spain,26133689.0,17707320.0,8804363.0,55.9,37.87,18.83,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
182,Sri Lanka,1833048.0,1488651.0,344397.0,8.56,6.95,1.61,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
183,Sudan,290500.0,204838.0,85662.0,0.66,0.47,0.2,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
184,Suriname,80716.0,67472.0,13244.0,13.76,11.5,2.26,Oxford/AstraZeneca
185,Sweden,4996809.0,3640423.0,1356386.0,49.48,36.05,13.43,"Oxford/AstraZeneca, Pfizer/BioNTech"
186,Switzerland,4521540.0,2906974.0,1614566.0,52.24,33.59,18.66,"Moderna, Pfizer/BioNTech"
187,Syria,2500.0,2500.0,0.0,0.01,0.01,0.0,Sputnik V
188,Taiwan,378277.0,32389.0,0.0,1.59,0.14,0.0,Oxford/AstraZeneca
189,Tajikistan,74403.0,74403.0,0.0,0.78,0.78,0.0,Oxford/AstraZeneca
190,Thailand,3504125.0,2415903.0,1088222.0,5.02,3.46,1.56,"Oxford/AstraZeneca, Sinovac"
191,Timor,63753.0,63752.0,1.0,4.84,4.84,0.0,Oxford/AstraZeneca
192,Togo,304630.0,276000.0,28630.0,3.68,3.33,0.35,Oxford/AstraZeneca
193,Tonga,25970.0,25970.0,1349.0,24.57,24.57,1.28,Oxford/AstraZeneca
194,Trinidad and Tobago,86079.0,84900.0,1179.0,6.15,6.07,0.08,Oxford/AstraZeneca
195,Tunisia,875808.0,597677.0,278131.0,7.41,5.06,2.35,"Pfizer/BioNTech, Sinovac, Sputnik V"
196,Turkey,28730177.0,16452864.0,12277313.0,34.07,19.51,14.56,"Pfizer/BioNTech, Sinovac"
197,Turkmenistan,41993.0,32240.0,9753.0,0.7,0.53,0.16,"EpiVacCorona, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
198,Turks and Caicos Islands,30760.0,20760.0,10000.0,79.45,53.62,25.83,Pfizer/BioNTech
199,Tuvalu,2400.0,2400.0,0.0,20.35,20.35,0.0,Oxford/AstraZeneca
200,Uganda,541569.0,565163.0,4129.0,1.18,1.24,0.01,Oxford/AstraZeneca
201,Ukraine,1132821.0,1008857.0,123964.0,2.59,2.31,0.28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
202,United Arab Emirates,12646025.0,5081853.0,3836521.0,127.86,51.38,38.79,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
203,United Kingdom,63349252.0,38871200.0,24478052.0,93.32,57.26,36.06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
204,United States,292099778.0,166388129.0,133532544.0,87.34,49.75,39.93,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
205,Uruguay,2744187.0,1744957.0,999230.0,79.0,50.23,28.77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
206,Uzbekistan,1642744.0,1199354.0,443390.0,4.91,3.58,1.32,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V"
207,Venezuela,316000.0,316000.0,0.0,1.11,1.11,0.0,Sputnik V
208,Vietnam,1034867.0,1005906.0,28961.0,1.06,1.03,0.03,Oxford/AstraZeneca
209,Wales,3209225.0,2128063.0,1081162.0,101.79,67.5,34.29,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
210,Wallis and Futuna,8283.0,4352.0,3931.0,73.65,38.7,34.95,Oxford/AstraZeneca
211,Yemen,18555.0,18555.0,0.0,0.06,0.06,0.0,Oxford/AstraZeneca
212,Zambia,146645.0,141359.0,5286.0,0.8,0.77,0.03,"Oxford/AstraZeneca, Sinopharm/Beijing"
213,Zimbabwe,976796.0,656630.0,320166.0,6.57,4.42,2.15,Sinopharm/Beijing
