,Medio empleado,Sexo,Edad,Total
271,63,2,5,0.0
272,63,2,6,0.0
273,63,2,7,0.0
274,63,2,8,0.0
275,63,2,9,0.0
276,63,2,10,0.0
277,63,2,11,0.0
278,63,2,12,0.0
279,63,2,13,0.0
280,63,2,14,0.0
281,63,2,15,0.0
282,63,2,16,0.0
283,63,2,17,0.0
284,63,2,18,0.0
285,64,0,0,69.31
286,64,0,1,0.0
287,64,0,2,0.54
288,64,0,3,1.63
289,64,0,4,2.17
290,64,0,5,1.63
291,64,0,6,5.44
292,64,0,7,8.7
293,64,0,8,10.6
294,64,0,9,8.43
295,64,0,10,9.51
296,64,0,11,7.61
297,64,0,12,3.53
298,64,0,13,2.99
299,64,0,14,2.17
300,64,0,15,2.45
301,64,0,16,1.63
302,64,0,17,0.27
303,64,0,18,0.0
304,64,1,0,36.97
305,64,1,1,0.0
306,64,1,2,0.54
307,64,1,3,0.27
308,64,1,4,0.82
309,64,1,5,1.09
310,64,1,6,2.72
311,64,1,7,5.44
312,64,1,8,7.61
313,64,1,9,5.16
314,64,1,10,3.81
315,64,1,11,2.72
316,64,1,12,2.99
317,64,1,13,1.09
318,64,1,14,0.82
319,64,1,15,1.09
320,64,1,16,0.82
321,64,1,17,0.0
322,64,1,18,0.0
323,64,2,0,32.35
324,64,2,1,0.0
325,64,2,2,0.0
326,64,2,3,1.36
327,64,2,4,1.36
328,64,2,5,0.54
329,64,2,6,2.72
330,64,2,7,3.26
331,64,2,8,2.99
332,64,2,9,3.26
333,64,2,10,5.71
334,64,2,11,4.89
335,64,2,12,0.54
336,64,2,13,1.9
337,64,2,14,1.36
338,64,2,15,1.36
339,64,2,16,0.82
340,64,2,17,0.27
341,64,2,18,0.0
342,65,0,0,0.27
343,65,0,1,0.0
344,65,0,2,0.0
345,65,0,3,0.0
346,65,0,4,0.0
347,65,0,5,0.0
348,65,0,6,0.0
349,65,0,7,0.27
350,65,0,8,0.0
351,65,0,9,0.0
352,65,0,10,0.0
353,65,0,11,0.0
354,65,0,12,0.0
355,65,0,13,0.0
356,65,0,14,0.0
357,65,0,15,0.0
358,65,0,16,0.0
359,65,0,17,0.0
360,65,0,18,0.0
361,65,1,0,0.27
362,65,1,1,0.0
363,65,1,2,0.0
364,65,1,3,0.0
365,65,1,4,0.0
366,65,1,5,0.0
367,65,1,6,0.0
368,65,1,7,0.27
369,65,1,8,0.0
370,65,1,9,0.0
371,65,1,10,0.0
372,65,1,11,0.0
373,65,1,12,0.0
374,65,1,13,0.0
375,65,1,14,0.0
376,65,1,15,0.0
377,65,1,16,0.0
378,65,1,17,0.0
379,65,1,18,0.0
380,65,2,0,0.0
381,65,2,1,0.0
382,65,2,2,0.0
383,65,2,3,0.0
384,65,2,4,0.0
385,65,2,5,0.0
386,65,2,6,0.0
387,65,2,7,0.0
388,65,2,8,0.0
389,65,2,9,0.0
390,65,2,10,0.0
391,65,2,11,0.0
392,65,2,12,0.0
393,65,2,13,0.0
394,65,2,14,0.0
395,65,2,15,0.0
396,65,2,16,0.0
397,65,2,17,0.0
398,65,2,18,0.0
399,66,0,0,0.27
400,66,0,1,0.0
401,66,0,2,0.0
402,66,0,3,0.0
403,66,0,4,0.0
404,66,0,5,0.0
405,66,0,6,0.0
406,66,0,7,0.0
407,66,0,8,0.0
408,66,0,9,0.0
409,66,0,10,0.0
410,66,0,11,0.0
411,66,0,12,0.27
412,66,0,13,0.0
413,66,0,14,0.0
414,66,0,15,0.0
415,66,0,16,0.0
416,66,0,17,0.0
417,66,0,18,0.0
418,66,1,0,0.27
419,66,1,1,0.0
420,66,1,2,0.0
421,66,1,3,0.0
422,66,1,4,0.0
423,66,1,5,0.0
424,66,1,6,0.0
425,66,1,7,0.0
426,66,1,8,0.0
427,66,1,9,0.0
428,66,1,10,0.0
429,66,1,11,0.0
430,66,1,12,0.27
431,66,1,13,0.0
432,66,1,14,0.0
433,66,1,15,0.0
434,66,1,16,0.0
435,66,1,17,0.0
436,66,1,18,0.0
437,66,2,0,0.0
438,66,2,1,0.0
439,66,2,2,0.0
440,66,2,3,0.0
441,66,2,4,0.0
442,66,2,5,0.0
443,66,2,6,0.0
444,66,2,7,0.0
445,66,2,8,0.0
446,66,2,9,0.0
447,66,2,10,0.0
448,66,2,11,0.0
449,66,2,12,0.0
450,66,2,13,0.0
451,66,2,14,0.0
452,66,2,15,0.0
453,66,2,16,0.0
454,66,2,17,0.0
455,66,2,18,0.0
456,67,0,0,13.59
457,67,0,1,0.0
458,67,0,2,0.27
459,67,0,3,0.27
460,67,0,4,0.54
461,67,0,5,0.82
462,67,0,6,1.36
463,67,0,7,1.9
464,67,0,8,1.09
465,67,0,9,2.45
466,67,0,10,1.63
467,67,0,11,1.36
468,67,0,12,0.82
469,67,0,13,0.0
470,67,0,14,0.0
471,67,0,15,0.82
472,67,0,16,0.0
473,67,0,17,0.0
474,67,0,18,0.27
475,67,1,0,12.23
476,67,1,1,0.0
477,67,1,2,0.0
478,67,1,3,0.27
479,67,1,4,0.54
480,67,1,5,0.82
481,67,1,6,1.36
482,67,1,7,1.36
483,67,1,8,1.09
484,67,1,9,2.45
485,67,1,10,1.09
486,67,1,11,1.36
487,67,1,12,0.82
488,67,1,13,0.0
489,67,1,14,0.0
490,67,1,15,0.82
491,67,1,16,0.0
492,67,1,17,0.0
493,67,1,18,0.27
494,67,2,0,1.36
495,67,2,1,0.0
